idna_subject,checker_type,destination,tested_at
08.185.87.09.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:30.568558
08.185.87.116.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:32.770132
08.185.87.119.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:33.235540
08.185.87.133.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:33.901460
08.185.87.14.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:34.545465
08.185.87.141.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:35.259212
08.185.87.144.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:35.873895
08.185.87.151.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:37.023548
08.185.87.154.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:37.652895
08.185.87.160.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:38.252789
08.185.87.161.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:38.646147
08.185.87.176.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:39.970581
08.185.87.185.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:40.572081
08.185.87.19.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:40.984502
08.185.87.197.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:41.855356
08.185.87.3.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:42.230160
08.185.87.38.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:42.598176
08.185.87.39.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:42.967945
08.185.87.41.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:43.771331
08.185.87.53.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:45.046932
08.185.87.67.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:46.343942
08.185.87.71.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:46.735285
08.185.87.75.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:47.342916
08.185.87.86.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:48.363260
08.185.87.97.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:49.418409
08.185.87.98.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:13:49.812291
208.185.87.101.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:08.333750
208.185.87.105.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:09.572570
208.185.87.108.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:10.268443
208.185.87.11.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:10.842248
208.185.87.111.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:11.962111
208.185.87.112.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:12.550465
208.185.87.118.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:13.094814
208.185.87.119.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:13.585229
208.185.87.12.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:14.289792
208.185.87.120.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:14.810680
208.185.87.125.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:16.219793
208.185.87.127.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:16.713744
208.185.87.13.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:17.617541
208.185.87.134.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:18.753016
208.185.87.136.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:19.434115
208.185.87.137.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:19.887927
208.185.87.139.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:20.571303
208.185.87.140.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:21.426346
208.185.87.141.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:22.087150
208.185.87.142.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:22.724478
208.185.87.147.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:23.701933
208.185.87.151.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:25.247194
208.185.87.159.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:27.282662
208.185.87.16.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:27.740615
208.185.87.162.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:28.937140
208.185.87.170.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:29.504495
208.185.87.171.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:30.043232
208.185.87.180.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:31.378900
208.185.87.184.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:32.403881
208.185.87.185.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:32.921389
208.185.87.192.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:34.687819
208.185.87.194.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:35.554391
208.185.87.195.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:36.238923
208.185.87.2.liveadvert.com,AVAILABILITY,domains.list,2021-09-14 04:19:37.237044
